@relation glass1
@attribute RI real [0, 150]
@attribute Na real [0, 150]
@attribute Class {0, 1}
@data
74.77,141.14,0
100.59,68.34,0
125.80,111.97,1
78.80,92.46,0
82.65,125.40,0
75.53,32.23,0
96.11,34.01,0
87.24,84.35,0
96.19,117.27,0
56.14,29.33,1
80.55,79.83,0
106.45,136.64,0
78.75,128.32,0
97.91,68.42,0
87.46,122.16,0
108.81,62.23,0
107.66,107.32,0
74.78,91.33,0
108.10,82.26,0
101.46,83.48,0
51.87,42.62,1
92.07,103.53,0
109.00,51.93,0
128.10,128.02,1
103.97,107.09,0
125.12,122.00,1
82.24,48.77,0
88.94,69.66,0
104.86,131.78,0
86.08,50.67,0
80.93,142.14,0
79.85,87.45,0
101.85,133.75,0
79.94,107.79,0
80.46,59.59,0
114.59,126.46,1
105.35,77.02,0
121.53,120.11,1
80.27,149.03,0
111.26,113.10,1
90.21,48.68,0
121.24,122.45,1
92.91,85.60,0
52.67,60.91,1
104.59,108.87,0
113.65,114.00,1
70.25,117.56,0
84.60,31.39,0
96.37,138.83,0
109.62,73.00,0
95.01,61.87,0
78.48,139.39,0
106.69,129.02,0
82.60,148.32,0
107.88,125.65,0
73.89,111.69,0
100.05,130.60,0
107.01,44.83,0
50.74,49.18,1
104.01,94.62,0
100.14,37.88,0
102.21,137.99,0
76.28,70.48,0
79.25,103.82,0
76.65,145.47,0
81.88,112.19,0
93.94,86.34,0
79.47,54.04,0
106.10,111.08,0
96.52,81.48,0
77.40,117.55,0
67.47,38.73,1
84.29,147.86,0
100.98,59.79,0
97.72,91.71,0
76.02,81.32,0
107.94,41.85,0
73.11,45.32,0
107.85,108.99,0
127.21,125.21,1
59.08,45.92,1
106.30,139.43,0
99.06,56.49,0
58.56,32.72,1
92.42,44.37,0
69.79,68.57,1
80.26,116.66,0
79.70,149.61,0
90.60,126.96,0
73,58,0,
65,55,1
63,58,1,
56,46,1,
115,45,1,
119,50,1
120,40,1,
79,75,1
79,63,1,
80,40,1,
79,48,1,
122,43,1,
